name,essround,edition,idno,cntry,dweight,pspwght,pweight,anweight,gndr,agea,maritalb,domicil,hhmmb,brncntr,ctzcntr,eisced,mnactic,pdwrk,emplrel,wrkctra,wkhtot,isco08,hinctnta,hincsrca,hincfel,health,hlthhmp,happy,stflife,cgtsmok,alcfreq,alcwkdy,alcwknd,alcbnge,height,weighta,region
ESS11e04_1,11,4.1,52040,GR,0.47621992,0.2638177,0.32726234,0.086337596,2,35,6,3,1,1,1,4,1,1,2,6,35,5311,77,2,2,2,3,7,8,5,5,11.38,11.38,4,172,75,EL64
ESS11e04_1,11,4.1,52068,GR,1.1655984,0.71346086,0.32726234,0.23348887,2,57,1,1,5,1,1,4,8,0,1,1,40,5249,77,1,2,2,2,7,8,5,5,13.04,26.08,3,175,888,EL63
ESS11e04_1,11,4.1,52074,GR,0.45242068,0.4639492,0.32726234,0.1518331,1,33,1,1,2,1,1,6,1,1,1,1,56,2652,4,1,2,2,3,8,8,6,7,6666,6666,6,170,73,EL61
ESS11e04_1,11,4.1,52091,GR,0.95077133,1.0150585,0.32726234,0.33219042,1,19,6,4,2,1,1,4,4,0,1,2,70,5221,88,3,2,1,3,10,9,1,2,26.08,64,5,175,80,EL52
ESS11e04_1,11,4.1,52094,GR,0.95237184,1.3374726,0.32726234,0.4377044,2,82,5,3,1,1,1,1,6,0,3,3,40,9121,3,4,4,3,2,3,5,4,6,7.9,11.38,4,162,85,EL52
ESS11e04_1,11,4.1,52115,GR,0.58202136,0.39636332,0.32726234,0.12971479,2,75,5,2,1,1,1,4,6,0,1,1,40,4211,77,4,2,3,1,6,5,6,7,6666,6666,6,158,60,EL30
ESS11e04_1,11,4.1,52163,GR,1.0088371,0.594991,0.32726234,0.19471817,2,37,1,2,3,1,1,4,1,1,1,2,40,5131,6,1,4,1,3,3,3,5,4,13.04,13.04,3,166,62,EL30
ESS11e04_1,11,4.1,52179,GR,1.2008089,0.81153065,0.32726234,0.26558343,2,48,1,1,4,1,1,4,1,1,2,6,40,5249,3,1,2,1,3,8,8,6,7,6666,6666,6,167,90,EL61
ESS11e04_1,11,4.1,52205,GR,0.14237842,0.14328302,0.32726234,0.046891138,2,79,5,3,1,1,1,1,6,0,2,6,888,6111,2,4,4,3,2,6,6,6,7,6666,6666,6,157,82,EL43
ESS11e04_1,11,4.1,52229,GR,0.6298884,0.6795969,0.32726234,0.22240648,2,70,5,1,1,1,1,1,8,0,6,6,666,66666,77,4,4,2,3,5,4,6,7,6666,6666,6,777,777,EL63
ESS11e04_1,11,4.1,52249,GR,1.5635768,1.0788622,0.32726234,0.35307097,2,49,1,4,4,1,1,5,1,1,1,1,30,4120,6,3,3,3,2,8,8,1,2,13.04,18.96,5,166,82,EL52
